id	effects	why
aba_aba	night_vision:0:90;glowing:0:20	аба-аба
adonis_pleco	resistance:0:60;slowness:0:20	плеко в панцире
african_arowana	luck:0:120	арована — рыба-дракон, богатство
african_knifefish	night_vision:0:60;glowing:0:20	африканская ножетелка
african_pike_characin	strength:0:45;hunger:0:30	африканская щука-характин
african_sharptooth_catfish	resistance:0:90;water_breathing:0:60	клариас дышит воздухом
alligator_gar	resistance:1:150;slowness:0:60;poison:0:5	аллигаторова щука: икра ядовита
anglerfish	darkness:0:10;night_vision:0:90;glowing:0:30	удильщик
angolan_clarias	resistance:0:60;water_breathing:0:45	клариас ангольский
ansorges_dwarf_characin	speed:0:15	карликовый характин
arapaima	health_boost:2:300;resistance:0:120	арапайма
asian_arowana	luck:1:180;bad_omen:0:300	азиатская арована: удача II, но нефиг есть краснокнижную
asp	strength:0:60;hunger:0:30	жерех — карп-хищник
barracuda	speed:1:60;poison:0:10	барракуда: сигуатера
barramundi	saturation:0:90;regeneration:0:20	баррамунди, ресторанная рыба
beluga	health_boost:4:480;absorption:2:480;bad_omen:0:600	белуга: +10 сердец на 8 мин, дурное знамение (по ТЗ)
bester_sturgeon	health_boost:3:720;absorption:1:720	гибрид beluga × sterlet: бафы обоих, слабее и дольше, без дебафов
black_crappie	haste:0:60;saturation:0:30	чёрный крапи
black_drum	saturation:0:75;slowness:0:15	чёрный горбыль
black_mahseer	luck:0:120;saturation:0:30	махсир — священная рыба, на удачу
black_marlin	speed:1:120;dolphins_grace:0:120	чёрный марлин
black_white_crappie_hybrid	haste:0:90;saturation:0:45	гибрид black_crappie × white_crappie: бафы обоих, слабее и дольше, без дебафов
blacktail_snapper	saturation:0:45;luck:0:30	снэппер
bleak	speed:0:10	уклейка, крошечная
blotched_upsidedown_catfish	levitation:0:3;saturation:0:15	плавает кверху брюхом — на миг взлетаешь
blue_bream	saturation:0:25	синец
blue_catfish	resistance:0:120;slowness:0:30	голубой
blue_marlin	speed:1:120;dolphins_grace:0:120	синий марлин
blue_mozambique_tilapia_hybrid	saturation:0:90;regeneration:0:15	гибрид blue_tilapia × mozambique_tilapia: бафы обоих, слабее и дольше, без дебафов
blue_tilapia	saturation:0:60;regeneration:0:10	голубая
bluefin_tuna	speed:1:150;dolphins_grace:0:150	синий тунец
bluefish	strength:0:60;hunger:0:30	луфарь
bluegill	haste:0:60	блюгилл
bluegill_green_sunfish_hybrid	haste:0:90	гибрид bluegill × green_sunfish: бафы обоих, слабее и дольше, без дебафов
bluegill_pumpkinseed_hybrid	haste:0:90	гибрид bluegill × pumpkinseed: бафы обоих, слабее и дольше, без дебафов
bluegill_redbreast_hybrid	haste:0:90	гибрид bluegill × redbreast_sunfish: бафы обоих, слабее и дольше, без дебафов
bluegill_redear_hybrid	haste:0:112	гибрид bluegill × redear_sunfish: бафы обоих, слабее и дольше, без дебафов
bowfin	resistance:0:60;nausea:0:10	ильная рыба: мясо мягкое и «ватное»
bream	saturation:0:40	лещ, сытный
bream_roach_hybrid	saturation:0:60;regeneration:0:6	гибрид bream × roach: бафы обоих, слабее и дольше, без дебафов
brook_bull_trout_hybrid	jump_boost:0:135;regeneration:0:22;strength:0:67	гибрид brook_trout × bull_trout: бафы обоих, слабее и дольше, без дебафов
brook_trout	jump_boost:0:60;regeneration:0:15	ручьевая
bull_shark	strength:1:120;hunger:1:30	бычья акула
bull_trout	jump_boost:0:90;strength:0:45	бычья форель — крупный хищник
bullseye_snakehead	regeneration:1:60;water_breathing:0:60	змееголов
burbot	night_vision:0:120;riverfishing:fish_oil:0:60	налим: зимняя ночная рыба, печень
cameroon_suckermouth_catfish	saturation:0:15	присоска
carp	saturation:0:45	прудовая классика: долгая сытость
catfish	resistance:0:120;slowness:0:30	сом
catla	saturation:0:60	катла, крупная
chain_pickerel	strength:0:45;hunger:0:20	цепная щучка
channel_blue_catfish_hybrid	resistance:0:180	гибрид channel_catfish × blue_catfish: бафы обоих, слабее и дольше, без дебафов
